Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,IVS1,IVS2,IVS3,IVS4,IVS5
2.6,11.1346532,-107.0502799,-93.36379254,16.84210425,46.89418216,244.18,11.12471847,-117.1093101,-76.44263433,16.84197226,46.89433437,244.27,11.34527276,-128.4203672,-60.2358597,16.84182383,46.89448016,244.595,11.3574248,-134.0256367,-46.55907849,16.84175028,46.89460318,244.2105,11.12565201,-139.1177424,-29.90499971,16.84168346,46.89475299,244.967,11.26671812,-142.4498228,-6.085386863,16.84163973,46.89496726,245.26,15.84580838,16.93153238,10.17616513,13.00505315,18.72841806
2.7,11.13414198,-106.3065943,-94.20138685,16.84211401,46.89417462,244.18,11.11637301,-116.4412143,-77.37618359,16.84198102,46.89432597,244.27,11.35290405,-127.9153306,-61.25550579,16.84183046,46.89447098,244.595,11.35930319,-133.6386694,-47.62800133,16.84175535,46.89459357,244.6395,11.1164587,-138.8771251,-30.99448211,16.84168661,46.89474319,245.019,11.26651038,-142.3809587,-7.214850016,16.84164063,46.8949571,245.26,15.8022837,16.9550981,10.17589768,13.02879498,18.71325908
2.8,11.13331997,-105.556655,-95.03324812,16.84212385,46.89416714,244.18,11.10961308,-115.7673943,-78.30337302,16.84198987,46.89431763,244.27,11.36212733,-127.4008361,-62.27078065,16.84183721,46.89446185,244.595,11.3618479,-133.2423082,-48.69393002,16.84176055,46.89458398,244.6395,11.11341769,-138.6267188,-32.08201643,16.8416899,46.89473341,245.019,11.26757282,-142.304007,-8.344682234,16.84164164,46.89494694,245.284,15.76023452,16.97654964,10.17549796,13.0526383,18.69735564
2.9,11.13218717,-104.8004866,-95.85930079,16.84213378,46.89415971,244.18,11.10443868,-115.088234,-79.22386021,16.84199878,46.89430935,244.511,11.37183176,-126.8770157,-63.28165442,16.84184408,46.89445276,244.818,11.36505892,-132.8365625,-49.75677772,16.84176588,46.89457442,244.6395,11.11652897,-138.3665514,-33.16753821,16.84169331,46.89472365,245.019,11.26990545,-142.2189634,-9.474773868,16.84164276,46.89493677,245.284,15.72008339,16.99542916,10.17498443,13.07656125,18.68079483
3,11.13074358,-104.038111,-96.67946843,16.84214378,46.89415233,244.18,11.10084982,-114.404061,-80.13732761,16.84200776,46.89430113,244.511,11.38090654,-126.3440054,-64.28809908,16.84185108,46.8944437,244.818,11.36893626,-132.4214472,-50.81645777,16.84177133,46.89456489,244.6395,11.12579255,-138.0966541,-34.2509818,16.84169685,46.8947139,245.019,11.27350826,-142.1258212,-10.60500677,16.84164398,46.8949266,245.284,15.68220611,17.01133552,10.17437311,13.10054372,18.66366992
3.1,11.12898919,-103.2695479,-97.49367392,16.84215387,46.89414501,244.19,11.09884649,-113.7151485,-81.0434826,16.8420168,46.89429298,244.209,11.38935165,-125.8019453,-65.29008822,16.84185819,46.89443469,244.818,11.37347991,-131.996982,-51.8728837,16.8417769,46.89455538,244.6395,11.14120843,-137.8170612,-35.3322805,16.84170052,46.89470417,244.404,11.27838125,-142.0245714,-11.73525499,16.84164531,46.89491644,245.284,15.646932,17.02392446,10.17367747,13.12456716,18.64607946
3.2,11.12692402,-102.4948148,-98.30183962,16.84216403,46.89413774,244.19,11.09842869,-113.0217189,-81.94205754,16.8420259,46.8942849,244.209,11.3971671,-125.2509788,-66.28759683,16.84186542,46.89442572,244.462,11.37868988,-131.5631918,-52.92596932,16.84178259,46.89454591,244.7765,11.1627766,-137.5278104,-36.41136663,16.84170432,46.89469447,244.757,11.28452443,-141.9152028,-12.8653855,16.84164675,46.89490627,245.284,15.61454436,17.03290837,10.17290822,13.14861445,18.62812646
3.3,11.12454805,-101.7139276,-99.10388749,16.84217428,46.89413052,244.19,11.09959643,-112.3239456,-82.8328098,16.84203505,46.89427689,244.209,11.40435289,-124.6912526,-67.28060106,16.84187276,46.89441679,244.462,11.38456616,-131.1201061,-53.97562875,16.8417884,46.89453647,244.7765,11.19049707,-137.2289419,-37.48817163,16.84170824,46.89468478,244.757,11.2919378,-141.7977018,-13.99525891,16.84164829,46.89489611,245.2885,15.58528086,17.03805594,10.1720733,13.17266977,18.60991749
3.4,11.12231818,-100.9269007,-99.89973933,16.84218461,46.89412336,244.19,11.10152111,-111.6219562,-83.71552183,16.84204426,46.89426895,244.209,11.41090902,-124.1229154,-68.26907801,16.84188022,46.89440789,244.462,11.39068545,-130.6677592,-55.02177644,16.84179434,46.89452706,244.7765,11.21845302,-136.920499,-38.5626262,16.84171229,46.89467511,244.757,11.29964429,-141.6720531,-15.12473014,16.84164994,46.89488595,244.841,15.55933414,17.03919153,10.1711777,13.19671846,18.59156182
3.5,11.12069127,-100.1337474,-100.6893168,16.84219502,46.89411626,244.19,11.10337413,-110.915835,-84.59000123,16.84205353,46.89426108,244.209,11.41683549,-123.5461185,-69.25300549,16.84188779,46.89439904,244.6835,11.39662443,-130.2061897,-56.06432729,16.8418004,46.89451768,244.327,11.24072764,-136.6025272,-39.63466035,16.84171646,46.89466547,244.757,11.30666686,-141.5382391,-16.25364917,16.84165169,46.89487579,244.841,15.53685239,17.03619433,10.17022349,13.22074691,18.5731706
